HUC_ID,name
170501041102,Upper Piute Creek Reservoir-Piute Creek
170501041103,Clay Bottom Reservoir-Piute Creek
170501041201,Antelope Spring
170501041202,Holdup Canyon-Owyhee River
170501041203,Yatahoney Creek
170501041204,The Tules-Owyhee River
170501041205,White Rock Reservoir-Owyhee River
170501041301,Hurry Back Creek
170501041302,Nip and Tuck Creek
170501041303,Stoneman Creek
170501041304,Nickel Creek
170501041305,Jackass Creek-Deep Creek
170501041401,Upper Pole Creek
170501041402,Camas Creek
170501041403,Lower Pole Creek
170501041501,Upper Dickshooter Creek
170501041502,Lower Dickshooter Creek
170501240501,Upper Pine Creek
170501240502,West Pine Creek
170501240503,Lower Pine Creek
170501240802,Keithly Creek
170501240803,Beaver Creek-Weiser River
170501240804,Sage Creek
170501240805,Banner Creek-Weiser River
170501240806,Sheep Creek-Weiser River
170501240908,Camp Creek-Crane Creek
170501241001,Upper Mann Creek
170501241002,Middle Mann Creek
170501241003,Lower Mann Creek
170501241101,Cove Creek
170501241102,Bear Creek-Weiser River
170501241103,Monroe Creek
170501241104,Weiser River-Snake River
170502010102,Jenkins Creek
170502010103,Scott Creek
170502010104,Warm Springs Creek
170502010105,Hog Creek
170502010302,Rock Creek
170502010305,Sturgill Creek
170502010402,Brownlee Creek
170501090305,Bull Creek
170501090306,Red Hills
170501090307,Lower Rattlesnake Creek
170501090401,Peacock Creek
170501090402,Upper Dry Creek
170501090403,Middle Dry Creek
170501090404,Corbin Creek
170501090405,Indian Fort Creek
170501090406,The Basin
170501090407,Lower Dry Creek
170501090501,170501090501
170501090502,Palomino Lake
170501090503,Upper Palomino Creek
170501090504,Scott Butte Creek
170501090505,Lower Palomino Creek
170501090506,Drought Creek-Crooked Creek
170501090507,Crooked Creek
170501100403,Upper Butte Creek
170501100404,Wildcat Creek
170501100405,Lower Butte Creek
170501100406,Windy Reservoir-Dry Creek
170501100407,Canyon Springs-Dry Creek
170501100501,Upper Juniper Creek
170501100502,Lower Juniper Creek
170501100503,Black Bull Springs-Dry Creek
170501100504,Hurley Spring Creek-Dry Creek
170501100505,Freezeout Creek-Dry Creek
170501100506,Sand Hollow
170501100507,Twin Springs Creek-Dry Creek
170501100601,Blue Canyon
170501100602,Willow Creek-Owyhee River
170501100603,Leslie Gulch
170501100604,Craig Gulch-Owyhee River
170501100605,Three Fingers Gulch
170501100606,Carlton Canyon-Owyhee River
