SPECIES,HUC12,FREQUENCY,Habitat_Miles
Brook trout,170102021306,5,12
Brook trout,170102021401,1,11
Brook trout,170102021402,4,11
Brook trout,170102021403,8,7
Brook trout,170102021404,4,15
Brook trout,170102021405,5,13
Brook trout,170102030104,1,4
Brook trout,170102030201,5,7
Brook trout,170102030202,9,12
Brook trout,170102030203,3,13
Brook trout,170102030204,9,14
Brook trout,170102030205,5,9
Brook trout,170102030206,4,7
Brook trout,170102030302,9,19
Brook trout,170102030303,7,16
Brook trout,170102030304,8,8
Brook trout,170102030306,7,9
Brook trout,170102030307,4,7
Brook trout,170102030308,15,28
Brook trout,170102030309,3,5
Brook trout,170102030310,7,17
Brook trout,170102030401,5,9
Brook trout,170102030403,1,6
Brook trout,170102030404,2,0
Brook trout,170102030406,4,5
Brook trout,170102030407,1,1
Brook trout,170102030408,3,7
Brook trout,170102030415,2,1
Brook trout,170102030702,1,1
Brook trout,170102030703,21,16
Brook trout,170102030704,3,7
Brook trout,170102030706,11,17
Brook trout,170102030801,3,3
Brook trout,170102030802,3,7
Brook trout,170102030803,16,22
Brook trout,170102030804,9,11
Brook trout,170102030903,5,26
Brook trout,170102030904,5,7
Brook trout,170102030905,14,17
Brook trout,170102030906,7,7
Brook trout,170102030907,10,14
Brook trout,170102030908,2,5
Brook trout,170102030909,15,17
Brook trout,170102030910,4,9
Brook trout,170102031001,3,5
Brook trout,170102031002,9,17
Brook trout,170102031003,5,10
Brook trout,170102031004,12,5
Brook trout,170102031101,12,12
Brook trout,170102031102,16,22
Brook trout,170102031103,9,11
Brook trout,170102031104,29,30
Brook trout,170102031105,7,17
Brook trout,170102031106,9,22
Brook trout,170102031107,15,19
Brook trout,170102031108,4,1
Brook trout,170102031201,10,20
Brook trout,170102031202,1,0
Brook trout,170102031203,2,6
Brook trout,170102031204,1,6
Brook trout,170102031205,9,11
Brook trout,170102031206,8,5
Brook trout,170102031207,5,15
Brook trout,170102031301,8,11
Brook trout,170102031302,5,3
Brook trout,170102031303,8,9
Brook trout,170102031304,3,10
Brook trout,170102031305,7,9
Brook trout,170102031306,4,11
Brook trout,170102031307,16,15
Brook trout,170102031308,5,10
Brook trout,170102040101,13,17
Brook trout,170102040102,27,26
Brook trout,170102040103,9,14
Brook trout,170102040104,9,20
Brook trout,170102040201,1,11
Brook trout,170102040203,2,5
Brook trout,170102040205,1,9
Brook trout,170102040207,4,11
Brook trout,170102040208,7,9
Brook trout,170102040209,12,12
Brook trout,170102040210,3,15
Brook trout,170102040301,18,17
Brook trout,170102040302,23,25
Brook trout,170102040303,30,27
Brook trout,170102040304,24,29
Brook trout,170102040305,1,8
Brook trout,170102040401,6,8
Brook trout,170102040402,1,1
Brook trout,170102040403,8,15
Brook trout,170102040404,2,6
Brook trout,170102040405,5,2
Brook trout,170102040501,7,11
Brook trout,170102040502,3,5
Brook trout,170102040503,15,24
Brook trout,170102040504,10,10
Brook trout,170102040505,6,9
Brook trout,170102040506,6,8
Brook trout,170102040507,16,24
Brook trout,170102040508,5,9
Brook trout,170102040601,2,11
Brook trout,170102040602,2,10
Brook trout,170102040603,2,4
Brook trout,170102040605,4,10
Brook trout,170102040606,3,7
Brook trout,170102040607,14,15
Brook trout,170102040608,12,10
Brook trout,170102040609,5,7
Brook trout,170102040610,1,0
Brook trout,170102040611,8,15
Brook trout,170102040612,2,5
Brook trout,170102040701,15,26
Brook trout,170102040702,10,15
Brook trout,170102040703,14,24
Brook trout,170102040704,20,22
Brook trout,170102040705,9,10
Brook trout,170102040706,4,5
Brook trout,170102040707,10,14
Brook trout,170102040708,17,23
Brook trout,170102040709,3,7
Brook trout,170102040710,1,0
Brook trout,170102040711,6,20
Brook trout,170102040712,5,14
Brook trout,170102040801,5,13
Brook trout,170102040802,6,11
Brook trout,170102040803,3,8
Brook trout,170102040804,3,4
Brook trout,170102040805,2,7
Brook trout,170102040806,2,9
Brook trout,170102040807,2,13
Brook trout,170102050101,2,10
Brook trout,170102050102,23,30
Brook trout,170102050103,24,31
Brook trout,170102050104,8,10
Brook trout,170102050105,2,4
Brook trout,170102050106,11,15
Brook trout,170102050107,4,4
Brook trout,170102050108,26,23
Brook trout,170102050201,3,3
Brook trout,170102050202,6,9
Brook trout,170102050203,8,4
