SPECIES,HUC12,FREQUENCY,Habitat_Miles
Bull trout,170602030801,3,6
Bull trout,170602030802,8,19
Bull trout,170602030803,3,10
Bull trout,170602030804,3,7
Bull trout,170602030901,11,23
Bull trout,170602030902,4,6
Bull trout,170602030903,2,11
Bull trout,170602030904,3,11
Bull trout,170602030905,7,24
Bull trout,170602031001,8,18
Bull trout,170602031002,2,13
Bull trout,170602031003,5,15
Bull trout,170602031004,5,11
Bull trout,170602031101,4,9
Bull trout,170602031102,1,5
Bull trout,170602031103,2,6
Bull trout,170602031104,5,21
Bull trout,170602031105,3,7
Bull trout,170602031106,1,5
Bull trout,170602031107,1,0
Bull trout,170602031201,5,13
Bull trout,170602031202,2,10
Bull trout,170602031203,7,17
Bull trout,170602031204,1,6
Bull trout,170602031301,4,15
Bull trout,170602031302,4,7
Bull trout,170602031303,4,5
Bull trout,170602040101,4,9
Bull trout,170602040102,5,12
Bull trout,170602040201,3,12
Bull trout,170602040202,7,13
Bull trout,170602040301,1,12
Bull trout,170602040302,1,5
Bull trout,170602040304,3,11
Bull trout,170602040401,11,30
Bull trout,170602040402,9,27
Bull trout,170602040503,5,14
Bull trout,170602040504,3,6
Bull trout,170602040505,3,18
Bull trout,170602040506,5,24
Bull trout,170602040507,2,11
Bull trout,170602040508,1,6
Bull trout,170602040510,1,10
Bull trout,170602040601,12,26
Bull trout,170602040602,5,14
Bull trout,170602040603,11,26
Bull trout,170602040604,7,24
Bull trout,170602040605,9,9
Bull trout,170602040701,1,0
Bull trout,170602040702,1,6
Bull trout,170602040704,2,9
Bull trout,170602040705,3,6
Bull trout,170602040706,2,7
Bull trout,170602040802,2,7
Bull trout,170602040804,1,0
Bull trout,170602040805,5,14
Bull trout,170602040806,2,5
Bull trout,170602040807,2,10
Bull trout,170602040808,1,8
Bull trout,170602040809,3,8
Bull trout,170602050101,12,28
Bull trout,170602050102,5,9
Bull trout,170602050103,7,14
Bull trout,170602050201,8,15
Bull trout,170602050202,13,27
Bull trout,170602050203,9,20
Bull trout,170602050204,6,11
Bull trout,170602050301,13,17
Bull trout,170602050302,9,12
Bull trout,170602050303,6,16
Bull trout,170602050304,8,12
Bull trout,170602050305,9,16
Bull trout,170602050401,3,6
Bull trout,170602050402,6,13
Bull trout,170602050403,3,8
Bull trout,170602050404,3,10
Bull trout,170602050405,5,20
Bull trout,170602050406,2,10
Bull trout,170602050407,5,8
Bull trout,170602050408,5,15
Bull trout,170602050502,12,9
Bull trout,170602050503,7,20
Bull trout,170602050504,1,7
Bull trout,170602050601,3,5
Bull trout,170602050602,1,7
Bull trout,170602050603,2,3
Bull trout,170602050604,3,16
Bull trout,170602050701,5,10
Bull trout,170602050702,2,10
Bull trout,170602050703,2,9
Bull trout,170602050801,8,25
Bull trout,170602050802,4,12
Bull trout,170602050803,2,10
Bull trout,170602050804,2,9
Bull trout,170602050901,5,11
Bull trout,170602050902,2,6
Bull trout,170602050903,8,16
Bull trout,170602050904,2,6
Bull trout,170602050905,3,9
Bull trout,170602050906,3,10
Bull trout,170602051001,13,22
Bull trout,170602051002,7,13
Bull trout,170602051003,11,12
Bull trout,170602051004,4,10
Bull trout,170602051005,11,26
Bull trout,170602051101,4,8
Bull trout,170602051102,4,15
Bull trout,170602051103,6,17
Bull trout,170602051104,4,12
Bull trout,170602051201,10,24
Bull trout,170602051202,15,29
Bull trout,170602060101,5,14
Bull trout,170602060102,5,6
Bull trout,170602060103,4,8
Bull trout,170602060104,5,9
Bull trout,170602060105,7,15
Bull trout,170602060201,3,7
Bull trout,170602060202,5,14
Bull trout,170602060203,2,6
Bull trout,170602060204,6,12
Bull trout,170602060301,4,14
Bull trout,170602060302,13,11
Bull trout,170602060303,7,12
Bull trout,170602060304,4,6
Bull trout,170602060305,6,14
Bull trout,170602060401,3,8
Bull trout,170602060402,4,10
Bull trout,170602060403,3,10
Bull trout,170602060404,3,6
Bull trout,170602060405,2,7
Bull trout,170602060406,3,9
Bull trout,170602060407,7,19
Bull trout,170602060409,6,13
Bull trout,170602060501,10,13
Bull trout,170602060502,3,8
Bull trout,170602060503,4,12
Bull trout,170602060504,4,6
Bull trout,170602060601,6,19
Bull trout,170602060602,3,15
Bull trout,170602060603,3,7
Bull trout,170602060604,6,7
Bull trout,170602060701,4,11
Bull trout,170602060702,6,8
Bull trout,170602060703,2,8
Bull trout,170602060704,3,15
Bull trout,170602060801,4,5
Bull trout,170602060802,3,9
Bull trout,170602060803,2,8
Bull trout,170602060901,2,12
Bull trout,170602060902,2,9
Bull trout,170602060903,5,16
Bull trout,170602060904,2,7
Bull trout,170602061001,9,14
Bull trout,170602061002,2,10
Bull trout,170602061003,3,9
Bull trout,170602061004,1,2
Bull trout,170602061005,1,4
Bull trout,170602070101,3,14
Bull trout,170602070103,2,5
Bull trout,170602070104,1,0
Bull trout,170602070106,2,9
Bull trout,170602070202,3,8
Bull trout,170602070203,2,4
Bull trout,170602070205,6,21
Bull trout,170602070206,7,15
Bull trout,170602070301,25,48
Bull trout,170602070302,6,14
Bull trout,170602070303,11,17
Bull trout,170602070304,12,29
Bull trout,170602070305,6,23
Bull trout,170602070306,7,36
Bull trout,170602070401,2,0
Bull trout,170602070402,9,19
Bull trout,170602070403,2,6
Bull trout,170602070502,3,16
Bull trout,170602070503,7,16
Bull trout,170602070504,13,27
Bull trout,170602070601,5,22
Bull trout,170602070602,2,5
Bull trout,170602070603,4,13
Bull trout,170602070701,11,19
Bull trout,170602070702,1,0
Bull trout,170602070703,2,5
Bull trout,170602070704,1,5
Bull trout,170602070706,3,2
Bull trout,170602070707,3,10
Bull trout,170602070801,1,3
Bull trout,170602070803,2,2
Bull trout,170602070903,5,13
Bull trout,170602070904,2,9
Bull trout,170602071002,2,2
Bull trout,170602071101,4,9
Bull trout,170602071103,3,8
Bull trout,170602071104,2,6
Bull trout,170602071105,4,7
Bull trout,170602071106,3,6
Bull trout,170602071107,3,4
Bull trout,170602080101,11,28
Bull trout,170602080102,9,14
Bull trout,170602080103,4,11
Bull trout,170602080104,6,18
Bull trout,170602080105,4,23
Bull trout,170602080106,4,14
Bull trout,170602080107,6,11
Bull trout,170602080108,16,25
Bull trout,170602080201,16,14
Bull trout,170602080202,6,13
Bull trout,170602080203,6,11
Bull trout,170602080204,8,14
Bull trout,170602080205,4,11
Bull trout,170602080206,12,25
Bull trout,170602080301,6,15
Bull trout,170602080302,6,10
Bull trout,170602080303,3,10
Bull trout,170602080401,9,19
Bull trout,170602080402,5,12
Bull trout,170602080403,13,25
Bull trout,170602080404,8,12
Bull trout,170602080405,6,8
Bull trout,170602080406,7,19
Bull trout,170602080407,4,13
Bull trout,170602080408,4,6
Bull trout,170602080409,12,22
Bull trout,170602080410,11,33
Bull trout,170602080411,6,6
Bull trout,170602080412,13,30
Bull trout,170602080501,16,29
Bull trout,170602080502,13,32
Bull trout,170602080503,10,35
Bull trout,170602080504,6,10
Bull trout,170602080505,12,34
Bull trout,170602080506,13,19
Bull trout,170602080507,7,11
Bull trout,170602080601,6,16
Bull trout,170602080602,1,1
Bull trout,170602080603,8,16
Bull trout,170602080604,8,19
Bull trout,170602080605,6,9
Bull trout,170602080606,13,30
Bull trout,170602080607,2,3
Bull trout,170602080608,9,34
Bull trout,170602090203,4,10
Bull trout,170602090206,2,9
Bull trout,170602090301,10,30
Bull trout,170602090302,5,5
Bull trout,170602090303,2,1
Bull trout,170602090304,3,13
Bull trout,170602090402,2,10
Bull trout,170602090403,1,4
Bull trout,170602090404,6,8
Bull trout,170602090405,3,6
Bull trout,170602090501,3,8
Bull trout,170602090504,2,5
Bull trout,170602090802,2,16
Bull trout,170602090901,2,8
Bull trout,170602090905,2,16
Bull trout,170602091003,1,0
Bull trout,170602091004,3,14
Bull trout,170602100203,1,5
Bull trout,170602100301,4,9
Bull trout,170602100302,5,3
Bull trout,170602100401,3,17
Bull trout,170602100402,2,7
Bull trout,170602100403,2,10
Bull trout,170602100404,2,7
Bull trout,170602100501,3,19
Bull trout,170602100502,2,6
Bull trout,170602100503,2,9
Bull trout,170602100505,3,4
Bull trout,170603010101,12,27
Bull trout,170603010102,5,13
Bull trout,170603010103,4,8
Bull trout,170603010201,9,20
Bull trout,170603010202,5,13
Bull trout,170603010301,5,17
Bull trout,170603010302,1,10
Bull trout,170603010303,4,8
Bull trout,170603010401,10,24
Bull trout,170603010402,6,16
Bull trout,170603010403,8,14
Bull trout,170603010404,4,6
Bull trout,170603010405,2,7
Bull trout,170603010501,4,16
Bull trout,170603010502,3,11
Bull trout,170603010503,5,10
Bull trout,170603010601,1,0
Bull trout,170603010602,5,9
Bull trout,170603010603,4,12
Bull trout,170603010604,3,13
Bull trout,170603010605,2,8
Bull trout,170603010606,6,12
Bull trout,170603010607,3,5
Bull trout,170603010703,5,9
Bull trout,170603010704,2,15
Bull trout,170603010705,5,11
Bull trout,170603020102,2,5
Bull trout,170603020104,2,6
Bull trout,170603020107,1,5
Bull trout,170603020108,7,21
Bull trout,170603020109,4,7
Bull trout,170603020110,3,9
Bull trout,170603020111,1,4
Bull trout,170603020202,1,8
Bull trout,170603020206,3,13
Bull trout,170603020301,2,15
Bull trout,170603020302,4,12
Bull trout,170603020303,1,0
Bull trout,170603020304,2,12
Bull trout,170603020305,1,0
Bull trout,170603020306,1,0
Bull trout,170603020307,6,11
Bull trout,170603020401,2,6
Bull trout,170603020402,3,7
Bull trout,170603020403,1,5
Bull trout,170603020405,3,7
Bull trout,170603030101,3,0
Bull trout,170603030102,8,15
Bull trout,170603030103,5,14
Bull trout,170603030104,9,17
Bull trout,170603030105,6,16
Bull trout,170603030106,10,26
Bull trout,170603030203,7,19
Bull trout,170603030204,1,1
Bull trout,170603030205,4,14
Bull trout,170603030206,5,8
Bull trout,170603030207,5,17
Bull trout,170603030208,5,22
Bull trout,170603030301,6,11
Bull trout,170603030302,8,16
Bull trout,170603030303,7,14
Bull trout,170603030304,9,18
Bull trout,170603030403,1,3
Bull trout,170603030501,2,8
Bull trout,170603030502,7,16
Bull trout,170603030503,5,12
Bull trout,170603030504,2,11
Bull trout,170603030506,3,9
Bull trout,170603030601,4,16
Bull trout,170603030602,4,14
Bull trout,170603030603,5,5
Bull trout,170603030702,4,11
Bull trout,170603030703,3,8
Bull trout,170603030704,5,20
Bull trout,170603030708,1,10
Bull trout,170603040101,7,15
Bull trout,170603040102,12,29
Bull trout,170603040103,12,30
Bull trout,170603040201,1,10
Bull trout,170603040202,5,16
Bull trout,170603040203,5,13
Bull trout,170603050101,11,26
Bull trout,170603050102,10,24
Bull trout,170603050103,7,21
Bull trout,170603050104,12,18
Bull trout,170603050201,5,12
Bull trout,170603050202,3,6
Bull trout,170603050203,2,2
Bull trout,170603050204,6,16
Bull trout,170603050301,10,25
Bull trout,170603050302,3,14
Bull trout,170603050401,12,27
Bull trout,170603050402,4,11
Bull trout,170603050501,2,10
Bull trout,170603050502,5,8
Bull trout,170603050503,11,35
Bull trout,170603050505,1,6
Bull trout,170603050506,1,0
Bull trout,170603050507,4,6
Bull trout,170603050601,13,46
Bull trout,170603050602,13,21
Bull trout,170603050603,6,25
Bull trout,170603050701,14,30
Bull trout,170603050702,1,0
Bull trout,170603050703,4,11
Bull trout,170603050704,2,12
Bull trout,170603050806,1,0
Bull trout,170603050903,2,12
Bull trout,170603060201,5,16
Bull trout,170603060202,1,0
Bull trout,170603060204,2,11
Bull trout,170603060205,2,18
Bull trout,170603060405,3,6
Bull trout,170603060501,1,8
Bull trout,170603060503,2,13
Bull trout,170603060504,3,13
Bull trout,170603061302,3,12
Bull trout,170603061305,1,13
Bull trout,170603061308,2,15
Bull trout,170603070101,5,16
Bull trout,170603070102,6,20
Bull trout,170603070103,15,42
Bull trout,170603070104,6,20
Bull trout,170603070105,10,34
Bull trout,170603070201,6,28
Bull trout,170603070202,8,27
Bull trout,170603070203,5,15
Bull trout,170603070204,10,25
Bull trout,170603070205,3,11
Bull trout,170603070206,10,19
Bull trout,170603070301,10,33
Bull trout,170603070302,2,12
Bull trout,170603070303,7,24
Bull trout,170603070401,15,25
Bull trout,170603070402,11,39
Bull trout,170603070403,10,33
Bull trout,170603070501,6,17
Bull trout,170603070502,13,47
Bull trout,170603070503,4,21
Bull trout,170603070504,5,23
Bull trout,170603070505,6,25
Bull trout,170603070506,5,18
Bull trout,170603070507,10,27
Bull trout,170603070701,8,35
Bull trout,170603070702,14,43
Bull trout,170603070703,7,29
Bull trout,170603070801,1,0
Bull trout,170603070802,10,28
Bull trout,170603070803,8,27
Bull trout,170603070901,2,7
Bull trout,170603070902,1,7
Bull trout,170603070903,2,9
Bull trout,170603071001,1,14
Bull trout,170603071002,5,9
Bull trout,170603080101,12,32
Bull trout,170603080102,3,11
Bull trout,170603080103,1,4
Bull trout,170603080104,1,4
Bull trout,170603080105,16,36
Bull trout,170603080201,1,6
Bull trout,170603080202,5,9
Bull trout,170603080203,5,11
Bull trout,170603080204,3,7
Bull trout,170603080301,1,10
Bull trout,170603080302,4,9
Bull trout,170603080401,5,18
Bull trout,170603080402,1,6
Bull trout,170603080404,5,16
Bull trout,170603080501,1,0
Bull trout,170603080502,2,6
Bull trout,170603080503,2,4
Bull trout,170603080504,1,9
Bull trout,170603080603,2,5
Bull trout,170603080702,2,2
Bull trout,170603080703,1,3
Bull trout,170603080705,2,9
Bull trout,170603080801,3,13
Bull trout,170603080803,1,0
Bull trout,170603080804,4,10
Bull trout,170701010102,4,7
Bull trout,170701010103,1,3
Bull trout,170701010201,2,9
Bull trout,170701010204,1,4
Bull trout,170701010206,2,7
Bull trout,170701010207,1,3
Bull trout,170701010601,2,5
Bull trout,170701010602,1,8
Bull trout,170701010603,1,6
Bull trout,170701010904,2,7
Bull trout,170701010905,2,12
Bull trout,170701011401,1,6
Bull trout,170701011403,1,11
Bull trout,170701011405,1,5
Bull trout,170701011407,1,9
Bull trout,170701011408,2,12
Bull trout,170701020101,16,15
Bull trout,170701020102,4,8
Bull trout,170701020103,3,10
Bull trout,170701020104,3,16
Bull trout,170701020105,3,3
Bull trout,170701020106,7,6
Bull trout,170701020201,31,25
Bull trout,170701020202,12,20
Bull trout,170701020204,14,37
Bull trout,170701020301,16,17
Bull trout,170701020302,4,8
Bull trout,170701020303,13,31
Bull trout,170701020304,10,23
Bull trout,170701020308,4,5
Bull trout,170701020401,3,8
Bull trout,170701020402,1,0
Bull trout,170701020403,2,3
Bull trout,170701020405,3,9
Bull trout,170701020704,15,29
Bull trout,170701021004,1,0
Bull trout,170701021102,11,16
Bull trout,170701021103,1,9
Bull trout,170701021105,1,17
Bull trout,170701030102,2,2
Bull trout,170701030103,1,3
Bull trout,170701030104,7,9
Bull trout,170701030106,3,11
Bull trout,170701030203,1,0
Bull trout,170701030204,6,7
Bull trout,170701030205,3,6
Bull trout,170701030206,3,9
Bull trout,170701030502,2,6
Bull trout,170701030504,2,6
Bull trout,170701030507,4,18
Bull trout,170701030703,2,16
Bull trout,170701030706,1,6
Bull trout,170701050103,4,17
Bull trout,170701050401,3,11
Bull trout,170701050406,4,12
Bull trout,170701050504,16,11
Bull trout,170701050505,8,11
Bull trout,170701050506,3,2
Bull trout,170701050702,3,8
Bull trout,170701050703,5,5
Bull trout,170701050811,11,5
Bull trout,170701051105,5,11
Bull trout,170701051106,2,15
Bull trout,170701051204,5,9
Bull trout,170701060104,2,1
Bull trout,170701060105,4,5
Bull trout,170701060106,5,15
Bull trout,170701060108,5,9
Bull trout,170701060210,22,18
Bull trout,170701060401,13,9
Bull trout,170701060402,20,13
Bull trout,170701060407,3,7
Bull trout,170701060409,15,12
Bull trout,170702010501,18,23
Bull trout,170702010502,12,12
Bull trout,170702010503,14,15
Bull trout,170702010504,4,8
Bull trout,170702010505,2,3
Bull trout,170702010601,2,2
Bull trout,170702010604,2,5
Bull trout,170702010605,2,5
Bull trout,170702010606,1,3
Bull trout,170702010608,3,6
Bull trout,170702011405,1,0
Bull trout,170702020101,12,17
Bull trout,170702020102,6,9
Bull trout,170702020103,5,12
Bull trout,170702020104,1,0
Bull trout,170702020105,7,18
Bull trout,170702020201,1,1
Bull trout,170702020203,1,0
Bull trout,170702020204,19,19
Bull trout,170702020206,5,8
Bull trout,170702020301,2,4
Bull trout,170702020303,3,1
Bull trout,170702020304,2,7
Bull trout,170702020305,1,7
Bull trout,170702020306,5,9
Bull trout,170702020401,7,9
Bull trout,170702020402,4,7
Bull trout,170702020403,1,5
Bull trout,170702020404,4,9
Bull trout,170702020703,3,5
Bull trout,170702020704,1,10
Bull trout,170702020710,1,13
Bull trout,170702020711,1,10
Bull trout,170702021003,1,11
Bull trout,170702021006,1,11
Bull trout,170702030103,1,0
Bull trout,170702030104,7,13
Bull trout,170702030106,5,7
Bull trout,170702030201,1,2
Bull trout,170702030202,3,7
Bull trout,170702030203,3,7
Bull trout,170702030204,1,0
Bull trout,170702030207,1,0
Bull trout,170702030208,1,7
Bull trout,170702030301,2,9
Bull trout,170702030302,10,15
Bull trout,170702040105,4,15
Bull trout,170703010201,3,6
Bull trout,170703010709,3,2
Bull trout,170703010805,2,2
Bull trout,170703010807,7,10
Bull trout,170703010904,2,2
Bull trout,170703010906,3,5
Bull trout,170703010907,9,13
Bull trout,170703010908,7,5
Bull trout,170703010909,1,4
Bull trout,170703010910,4,11
Bull trout,170703010911,7,12
Bull trout,170703011001,2,13
Bull trout,170703011002,5,11
Bull trout,170703011003,4,9
Bull trout,170703011007,1,10
Bull trout,170703011104,6,12
Bull trout,170703051102,5,8
Bull trout,170703060103,1,6
Bull trout,170703060301,3,20
Bull trout,170703060302,2,14
Bull trout,170703060304,5,11
Bull trout,170703060305,3,10
Bull trout,170703060601,2,4
Bull trout,170703060602,2,9
Bull trout,170703060606,3,16
Bull trout,170703060607,1,13
Bull trout,170703060608,1,9
Bull trout,170703060908,1,2
Bull trout,170703061101,2,6
Bull trout,170703061104,1,21
Bull trout,170703061107,2,6
Bull trout,170703061108,3,8
Bull trout,170800010801,8,6
Bull trout,170800010802,8,8
Bull trout,170800010803,4,7
Bull trout,170800010804,7,16
Bull trout,170800020106,1,0
Bull trout,170800020107,1,0
Bull trout,170800020108,5,6
Bull trout,170800020109,1,3
Bull trout,170800020111,6,7
Bull trout,170800020205,1,2
Bull trout,170800020301,5,11
Bull trout,170800020302,6,6
Bull trout,170800020305,1,6
Bull trout,170800020401,4,8
Bull trout,170800020404,1,0
Bull trout,170800020405,1,6
Bull trout,170800020603,1,0
Bull trout,170800020604,2,12
Bull trout,170800020606,10,22
Bull trout,170800030200,7,38
Bull trout,170800030305,13,10
Bull trout,170800030900,8,77
Bull trout,170800060500,3,29
Bull trout,170900010101,2,0
Bull trout,170900010102,2,1
Bull trout,170900010103,14,5
Bull trout,170900010104,4,9
Bull trout,170900010106,1,6
Bull trout,170900010202,3,5
Bull trout,170900010502,2,11
Bull trout,170900010503,2,5
Bull trout,170900010504,2,3
Bull trout,170900010505,9,7
Bull trout,170900030601,1,0
Bull trout,170900040102,3,2
Bull trout,170900040104,1,0
Bull trout,170900040105,5,12
Bull trout,170900040203,3,1
Bull trout,170900040204,9,4
Bull trout,170900040205,3,2
Bull trout,170900040206,8,13
Bull trout,170900040209,4,8
Bull trout,170900040301,1,2
Bull trout,170900040302,3,5
Bull trout,170900040303,1,6
Bull trout,170900040304,1,6
Bull trout,170900040305,3,3
Bull trout,170900040306,3,7
Bull trout,170900040307,6,7
Bull trout,170900040308,1,4
Bull trout,170900040403,2,2
Bull trout,170900040501,2,4
Bull trout,170900040502,8,15
Bull trout,170900040701,2,3
Bull trout,170900040702,8,14
Bull trout,170900040703,3,8
Bull trout,170900040704,1,5
Bull trout,170900040706,4,25
Burbot,170101011211,9,16
Burbot,170101011505,5,12
Burbot,170101011707,10,16
Burbot,170101020406,2,0
Burbot,170101040203,4,6
Burbot,170102130803,3,1
Chinook salmon,170200050309,3,1
Chinook salmon,170200050405,12,24
Chinook salmon,170200050504,7,19
Chinook salmon,170200050505,6,16
Chinook salmon,170200050507,6,25
Chinook salmon,170200061506,6,9
Chinook salmon,170200061606,10,18
Chinook salmon,170200061808,16,16
Chinook salmon,170200061905,1,0
Chinook salmon,170200062102,3,5
Chinook salmon,170200062106,9,17
Chinook salmon,170200062205,7,12
Chinook salmon,170200062209,1,15
Chinook salmon,170200072009,6,10
Chinook salmon,170200080103,3,0
Chinook salmon,170200080104,5,7
Chinook salmon,170200080201,2,1
Chinook salmon,170200080202,1,1
Chinook salmon,170200080203,1,0
Chinook salmon,170200080204,5,8
Chinook salmon,170200080205,11,11
Chinook salmon,170200080303,7,4
Chinook salmon,170200080304,2,0
Chinook salmon,170200080305,3,7
Chinook salmon,170200080306,3,8
Chinook salmon,170200080401,2,1
Chinook salmon,170200080403,5,12
Chinook salmon,170200080404,2,1
Chinook salmon,170200080406,2,1
Chinook salmon,170200080407,1,0
Chinook salmon,170200080408,6,13
Chinook salmon,170200080501,2,1
Chinook salmon,170200080502,2,1
Chinook salmon,170200080503,3,7
Chinook salmon,170200080504,2,1
Chinook salmon,170200080505,1,0
Chinook salmon,170200080506,1,1
Chinook salmon,170200080507,4,8
Chinook salmon,170200080509,5,14
Chinook salmon,170200080601,2,1
Chinook salmon,170200080602,7,17
Chinook salmon,170200080603,2,3
Chinook salmon,170200080604,1,1
Chinook salmon,170200080605,12,27
Chinook salmon,170200080610,9,27
Chinook salmon,170200080702,5,15
Chinook salmon,170200080703,3,1
Chinook salmon,170200080704,3,5
Chinook salmon,170200080706,8,27
Chinook salmon,170200080709,17,19
Chinook salmon,170200090305,9,2
Chinook salmon,170200100102,4,2
Chinook salmon,170200100103,5,7
Chinook salmon,170200100204,9,11
Chinook salmon,170200100205,12,10
Chinook salmon,170200100207,16,23
Chinook salmon,170200100209,26,23
Chinook salmon,170200100302,4,22
Chinook salmon,170200100303,4,17
Chinook salmon,170200100306,8,25
Chinook salmon,170200100307,7,11
Chinook salmon,170200100308,11,10
Chinook salmon,170200100309,2,0
Chinook salmon,170200100310,3,1
Chinook salmon,170200100312,4,2
Chinook salmon,170200100313,6,21
Chinook salmon,170200100401,2,7
Chinook salmon,170200100405,11,36
Chinook salmon,170200100408,6,16
Chinook salmon,170200100409,6,23
Chinook salmon,170200100502,3,18
Chinook salmon,170200100504,2,1
Chinook salmon,170200100505,2,1
Chinook salmon,170200100506,7,18
Chinook salmon,170200100507,3,14
Chinook salmon,170200110102,1,1
Chinook salmon,170200110103,3,1
Chinook salmon,170200110104,2,1
Chinook salmon,170200110105,11,15
Chinook salmon,170200110110,9,9
Chinook salmon,170200110111,2,5
Chinook salmon,170200110203,2,16
Chinook salmon,170200110301,2,3
Chinook salmon,170200110302,4,1
Chinook salmon,170200110303,2,11
Chinook salmon,170200110304,3,6
Chinook salmon,170200110305,7,9
Chinook salmon,170200110306,5,6
Chinook salmon,170200110308,4,15
Chinook salmon,170200110406,7,6
Chinook salmon,170200110501,5,5
Chinook salmon,170200110502,2,1
Chinook salmon,170200110503,7,9
Chinook salmon,170200110604,2,1
Chinook salmon,170200110701,24,40
Chinook salmon,170200110702,6,4
Chinook salmon,170200110703,11,22
Chinook salmon,170200110706,11,18
Chinook salmon,170200110707,7,15
Chinook salmon,170200110708,19,21
Chinook salmon,170200120406,6,1
Chinook salmon,170200151009,3,3
Chinook salmon,170200151010,1,1
Chinook salmon,170200151012,4,18
Chinook salmon,170200160102,4,19
Chinook salmon,170200160105,3,21
Chinook salmon,170200160106,12,28
Chinook salmon,170200160108,3,36
Chinook salmon,170200160201,9,34
Chinook salmon,170200160204,6,23
Chinook salmon,170200160206,6,37
Chinook salmon,170200160601,6,27
Chinook salmon,170200160602,3,20
Chinook salmon,170200160604,20,42
Chinook salmon,170300010106,5,9
Chinook salmon,170300010201,1,2
Chinook salmon,170300010202,5,5
Chinook salmon,170300010203,3,4
Chinook salmon,170300010204,6,10
Chinook salmon,170300010205,6,13
Chinook salmon,170300010302,4,3
Chinook salmon,170300010304,7,11
Chinook salmon,170300010305,2,2
Chinook salmon,170300010306,14,23
Chinook salmon,170300010307,6,14
Chinook salmon,170300010403,3,2
Chinook salmon,170300010405,1,3
Chinook salmon,170300010408,12,14
Chinook salmon,170300010409,6,5
Chinook salmon,170300010502,7,9
Chinook salmon,170300010504,2,2
Chinook salmon,170300010505,2,10
Chinook salmon,170300010506,4,2
Chinook salmon,170300010507,9,11
Chinook salmon,170300010511,11,13
Chinook salmon,170300010605,2,2
Chinook salmon,170300010701,3,1
Chinook salmon,170300010704,1,1
Chinook salmon,170300010705,3,12
Chinook salmon,170300010708,6,23
Chinook salmon,170300010709,11,17
Chinook salmon,170300020101,5,3
Chinook salmon,170300020102,3,9
Chinook salmon,170300020103,6,10
Chinook salmon,170300020106,12,6
Chinook salmon,170300020107,23,18
Chinook salmon,170300020108,21,20
Chinook salmon,170300020109,7,8
Chinook salmon,170300020201,1,1
Chinook salmon,170300020202,17,14
Chinook salmon,170300020203,2,2
Chinook salmon,170300020204,2,3
Chinook salmon,170300020205,3,4
Chinook salmon,170300020206,6,15
Chinook salmon,170300020207,7,6
Chinook salmon,170300020208,7,11
Chinook salmon,170300020305,1,0
Chinook salmon,170300020306,3,3
Chinook salmon,170300020308,4,19
Chinook salmon,170300020311,3,7
Chinook salmon,170300020312,26,49
Chinook salmon,170300030105,7,11
Chinook salmon,170300030203,3,1
Chinook salmon,170300030205,8,1
Chinook salmon,170300030206,26,31
Chinook salmon,170300030401,3,8
Chinook salmon,170300030402,2,5
Chinook salmon,170300030403,13,25
Chinook salmon,170300030501,20,39
Chinook salmon,170300030503,4,23
Chinook salmon,170300030506,5,13
Chinook salmon,170300030607,7,8
Chinook salmon,170300030705,1,4
Chinook salmon,170300030803,1,0
Chinook salmon,170300030804,2,6
Chinook salmon,170300030807,15,40
Chinook salmon,170300030901,2,0
Chinook salmon,170300030906,2,14
Chinook salmon,170300031002,13,37
Chinook salmon,170300031003,6,14
Chinook salmon,170300031004,2,15
Chinook salmon,170300031005,8,2
Chinook salmon,170300031006,8,4
Chinook salmon,170300031007,4,21
Chinook salmon,170300031201,3,2
Chinook salmon,170300031202,3,17
Chinook salmon,170300031203,11,23
Chinook salmon,170300031204,3,5
Chinook salmon,170300031205,14,49
Chinook salmon,170601010102,15,23
Chinook salmon,170601010103,2,4
Chinook salmon,170601010105,2,2
Chinook salmon,170601010106,11,30
Chinook salmon,170601010201,6,17
Chinook salmon,170601010203,3,10
Chinook salmon,170601010204,6,13
Chinook salmon,170601010205,3,8
Chinook salmon,170601010206,3,9
Chinook salmon,170601010208,6,15
Chinook salmon,170601010301,2,14
Chinook salmon,170601010302,4,20
Chinook salmon,170601010305,6,22
Chinook salmon,170601010306,13,13
Chinook salmon,170601020101,1,0
Chinook salmon,170601020102,1,2
Chinook salmon,170601020103,3,6
Chinook salmon,170601020104,3,13
Chinook salmon,170601020106,2,5
Chinook salmon,170601020201,6,10
Chinook salmon,170601020203,1,1
Chinook salmon,170601020204,1,1
Chinook salmon,170601020205,5,6
Chinook salmon,170601020206,3,13
Chinook salmon,170601020301,6,4
Chinook salmon,170601020302,3,4
Chinook salmon,170601020303,5,8
Chinook salmon,170601020304,1,6
Chinook salmon,170601020305,1,3
Chinook salmon,170601020306,6,13
Chinook salmon,170601020404,1,0
Chinook salmon,170601020406,1,2
Chinook salmon,170601020407,3,8
Chinook salmon,170601020501,6,8
Chinook salmon,170601020502,4,11
Chinook salmon,170601020504,1,4
Chinook salmon,170601020506,1,0
Chinook salmon,170601020507,3,9
Chinook salmon,170601020509,3,11
Chinook salmon,170601020510,5,22
Chinook salmon,170601030103,37,48
Chinook salmon,170601030104,49,31
Chinook salmon,170601030105,24,58
Chinook salmon,170601030301,1,9
Chinook salmon,170601030303,37,90
Chinook salmon,170601030305,16,58
Chinook salmon,170601030307,49,89
